oper_data;oper_cv;oper_corret;oper_tipo;oper_vencto;oper_nome;oper_qtd;oper_preco_unit;oper_valor
21/01/2021;Aplicação;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;3,05;2956,2;9016,41
01/02/2021;Aplicação;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;2,86;2979,38;8521,03
19/03/2021;Aplicação;XP;Tesouro Selic;01/03/2027;Tesouro Selic 2027;0,67;10588,93;7094,58
03/05/2021;Aplicação;BB;Tesouro IPCA+;15/08/2026;Tesouro IPCA+ 2026;1,02;2943,52;3002,39
18/06/2021;Resgate;XP;Tesouro IPCA+;15/08/2024;Tesouro IPCA+ 2024;-12,09;3185,83;38516,68
06/08/2021;Aplicação;BB;Tesouro Prefixado;01/01/2026;Tesouro Pre 2026;11;673,39;7407,29
06/08/2021;Aplicação;Inter;Tesouro Prefixado;01/07/2024;Tesouro Pre 2024;10;776,3;7763
06/08/2021;Resgate;XP;Tesouro Selic;01/03/2027;Tesouro Selic 2027;-0,67;10775,27;7219,43
01/10/2021;Aplicação;Inter;Tesouro Prefixado;01/07/2024;Tesouro Pre 2024;9,12;767,47;6999,33
09/11/2021;Aplicação;XP;Tesouro Selic;01/03/2027;Tesouro Selic 2027;0,95;10952,22;10404,61
23/11/2021;Resgate;XP;Tesouro Selic;01/03/2027;Tesouro SELIC 2027;-0,95;10975,32;10426,55
