oper_data;oper_cv;oper_corret;oper_tipo;oper_ticker;oper_qtd;oper_preco_unit;oper_valor;oper_taxas;oper_ir;oper_moeda
30/09/2020;C;MyCap;Ação;CIEL3;200;3,94;788;5;0;BRL
21/10/2020;V;MyCap;Ação;WEGE3;-300;79,01;23703;12,37;0;BRL
23/10/2020;C;MyCap;Ação;NTCO3;100;49,97;4997;5;0;BRL
23/10/2020;C;MyCap;Ação;VALE3;50;63,26;3163;5;0;BRL
23/10/2020;C;MyCap;Ação;ALUP11;200;23,84;4768;5;0;BRL
23/10/2020;C;MyCap;Ação;PETR3;50;20,62;1031;5;0;BRL
23/10/2020;C;MyCap;Ação;PETR3;75;20,6;1545;5;0;BRL
28/10/2020;C;MyCap;Ação;WEGE3;100;79,14;7914;5;0;BRL
12/11/2020;C;XP;FII;ALZR11;8;127,05;1016,4;0;0;BRL
12/11/2020;C;XP;FII;HGCR11;13;101,25;1316,25;0;0;BRL
12/11/2020;C;XP;FII;HGRE11;14;118,64;1661;0;0;BRL
12/11/2020;C;XP;FII;HGRU11;5;128,4;642;0;0;BRL
12/11/2020;C;XP;FII;HSML11;20;93,22;1864,4;0;0;BRL
12/11/2020;C;XP;FII;MALL11;20;96,27;1925,4;0;0;BRL
12/11/2020;C;XP;FII;RBRP11;63;92,19;5807,97;0;0;BRL
12/11/2020;C;XP;FII;RBRR11;12;96,8;1161,6;0;0;BRL
12/11/2020;C;XP;FII;VRTA11;19;106,64;2026,16;0;0;BRL
12/11/2020;C;XP;FII;XPLG11;10;128,94;1289,4;0;0;BRL
12/11/2020;C;XP;FII;XPML11;12;113,56;1362,72;0;0;BRL
02/12/2020;C;MyCap;Ação;RADL3;200;24,6;4920;6,59;0;BRL
10/12/2020;C;MyCap;Ação;RDOR3;3;57,92;173,76;0;0;BRL
11/12/2020;C;MyCap;Ação;RDOR3;77;62,9;4843,3;6,57;0;BRL
18/12/2020;V;MyCap;Ação;MDIA3;-100;34,54;3454;5;0;BRL
18/12/2020;C;MyCap;Ação;TSLA34;32;106,75;3416;5;0;BRL
