rf_data;rf_oper;rf_corret;rf_tipo;rf_nome;rf_valor_deb;rf_valor_cred;rf_moeda
31/07/2017;Saídas;MyCap;Cash;MyCap Conta Invest;63,18;0;BRL
31/08/2017;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;10000;BRL
31/08/2017;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;14,79;BRL
31/08/2017;Resgate;BB;REF DI;BB Ref DI Plus Est;9559,67;0;BRL
31/08/2017;Saídas;MyCap;Cash;MyCap Conta Invest;58,99;0;BRL
01/09/2017;Entradas;MyCap;Cash;MyCap Conta Invest;0;2,88;BRL
30/09/2017;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;13000;BRL
30/09/2017;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;22,1;BRL
30/09/2017;Resgate;BB;REF DI;BB Ref DI Plus Est;11540,8;0;BRL
31/10/2017;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;11000;BRL
31/10/2017;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;25,51;BRL
31/10/2017;Resgate;BB;REF DI;BB Ref DI Plus Est;9180,1;0;BRL
31/10/2017;Saídas;MyCap;Cash;MyCap Conta Invest;7;0;BRL
01/11/2017;Entradas;MyCap;Cash;MyCap Conta Invest;0;232,05;BRL
30/11/2017;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;5000;BRL
30/11/2017;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;10,64;BRL
30/11/2017;Resgate;BB;REF DI;BB Ref DI Plus Est;8792,47;0;BRL
31/12/2017;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;18000;BRL
31/12/2017;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;30,3;BRL
31/12/2017;Resgate;BB;REF DI;BB Ref DI Plus Est;17455,87;0;BRL
31/12/2017;Saídas;MyCap;Cash;MyCap Conta Invest;125,24;0;BRL
31/01/2018;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;11500;BRL
31/01/2018;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;10,7;BRL
