rf_data;rf_oper;rf_corret;rf_tipo;rf_nome;rf_valor_deb;rf_valor_cred;rf_moeda
30/09/2020;Resgate;BB;REF DI;BB Ref DI Plus Est;4457,76;0;BRL
30/09/2020;Resgate;Inter PJ;CDB;CDB Liquidez Diária;550;0;BRL
30/09/2020;Saídas;MyCap;Cash;MyCap Conta Invest;335,11;0;BRL
01/10/2020;Entradas;MyCap;Cash;MyCap Conta Invest;0;251,37;BRL
01/10/2020;Entradas;XP;Cash;XP Conta Invest;0;225,06;BRL
31/10/2020;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;5454,3;BRL
31/10/2020;Aplicação;Inter;CDB;CDB Liquidez Diária;0;8700;BRL
31/10/2020;Aplicação;Inter PJ;CDB;CDB Liquidez Diária;0;950;BRL
31/10/2020;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,25;BRL
31/10/2020;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;1,26;BRL
31/10/2020;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;1,65;BRL
31/10/2020;Resgate;BB;REF DI;BB Ref DI Plus Est;5677,37;0;BRL
31/10/2020;Resgate;Inter;CDB;CDB Liquidez Diária;6010;0;BRL
31/10/2020;Resgate;Inter PJ;CDB;CDB Liquidez Diária;1266,54;0;BRL
01/11/2020;Entradas;MyCap;Cash;MyCap Conta Invest;0;25;BRL
30/11/2020;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;4847,23;BRL
30/11/2020;Aplicação;Inter;CDB;CDB Liquidez Diária;0;12400;BRL
30/11/2020;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,09;BRL
30/11/2020;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;9,53;BRL
30/11/2020;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;1,54;BRL
30/11/2020;Resgate;BB;REF DI;BB Ref DI Plus Est;5757,51;0;BRL
30/11/2020;Resgate;Inter;CDB;CDB Liquidez Diária;1550;0;BRL
30/11/2020;Saídas;XP;Cash;XP Conta Invest;271,65;0;BRL
01/12/2020;Entradas;XP;Cash;XP Conta Invest;0;378,87;BRL
31/12/2020;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;8735,94;BRL
31/12/2020;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,3;BRL
31/12/2020;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;6,99;BRL
31/12/2020;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;1,6;BRL
31/12/2020;Resgate;BB;REF DI;BB Ref DI Plus Est;8598,48;0;BRL
31/12/2020;Resgate;Inter;CDB;CDB Liquidez Diária;4470;0;BRL
31/12/2020;Saídas;MyCap;Cash;MyCap Conta Invest;196,86;0;BRL
01/01/2021;Entradas;MyCap;Cash;MyCap Conta Invest;0;4515,64;BRL
31/01/2021;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;9825,7;BRL
31/01/2021;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,26;BRL
31/01/2021;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;1,55;BRL
31/01/2021;Resgate;BB;REF DI;BB Ref DI Plus Est;9772,74;0;BRL
31/01/2021;Resgate;Inter;CDB;CDB Liquidez Diária;600;0;BRL
31/01/2021;Saídas;XP;Cash;XP Conta Invest;241,8;0;BRL
01/02/2021;Entradas;XP;Cash;XP Conta Invest;0;411,4;BRL
12/02/2021;Entradas;MyCap;Cash;MyCap Conta Invest;0;196293,8;BRL
18/02/2021;Saídas;MyCap;Cash;MyCap Conta Invest;73000;0;BRL
28/02/2021;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;7948,25;BRL
28/02/2021;Aplicação;Inter;CDB;CDB Liquidez Diária;0;127000;BRL
28/02/2021;Aplicação;MyCap;Crypto;Hashdex;0;3000;BRL
28/02/2021;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,26;BRL
28/02/2021;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;79,87;BRL
28/02/2021;Rendimentos;MyCap;Crypto;Hashdex;49,94;0;BRL
28/02/2021;Resgate;BB;REF DI;BB Ref DI Plus Est;7101,64;0;BRL
28/02/2021;Resgate;Inter;CDB;CDB Liquidez Diária;6400;0;BRL
28/02/2021;Saídas;MyCap;Cash;MyCap Conta Invest;3455,43;0;BRL
28/02/2021;Saídas;MyCap;Cash;MyCap Conta Invest;120991,18;0;BRL
09/03/2021;Saídas;MyCap;Cash;MyCap Conta Invest;378;0;BRL
11/03/2021;Saídas;MyCap;Cash;MyCap Conta Invest;827;0;BRL
19/03/2021;Saídas;MyCap;Cash;MyCap Conta Invest;1097,62;0;BRL
31/03/2021;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;4033,91;BRL
31/03/2021;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,17;BRL
31/03/2021;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;50,43;BRL
31/03/2021;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;3,19;BRL
31/03/2021;Rendimentos;MyCap;Crypto;Hashdex;0;145,39;BRL
31/03/2021;Resgate;BB;REF DI;BB Ref DI Plus Est;5157,16;0;BRL
31/03/2021;Resgate;Inter;CDB;CDB Liquidez Diária;58910;0;BRL
31/03/2021;Saídas;MyCap;Cash;MyCap Conta Invest;1000,2;0;BRL
31/03/2021;Saídas;XP;Cash;XP Conta Invest;697,47;0;BRL
01/04/2021;Entradas;MyCap;Cash;MyCap Conta Invest;0;7159,33;BRL
01/04/2021;Entradas;XP;Cash;XP Conta Invest;0;117,48;BRL
30/04/2021;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;6280,04;BRL
30/04/2021;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,67;BRL
30/04/2021;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;93,95;BRL
30/04/2021;Rendimentos;MyCap;Crypto;Hashdex;10,5;0;BRL
30/04/2021;Resgate;BB;REF DI;BB Ref DI Plus Est;4837,85;0;BRL
30/04/2021;Resgate;Inter;CDB;CDB Liquidez Diária;22160;0;BRL
30/04/2021;Resgate;Inter PJ;CDB;CDB Liquidez Diária;340;0;BRL
30/04/2021;Resgate;MyCap;Crypto;Hashdex;3084,95;0;BRL
31/05/2021;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;855,9;BRL
31/05/2021;Aplicação;Inter;CDB;CDB Liquidez Diária;0;3000;BRL
31/05/2021;Saídas;MyCap;Cash;MyCap Conta Invest;6947,04;0;BRL
31/05/2021;Saídas;XP;Cash;XP Conta Invest;4,31;0;BRL
01/06/2021;Entradas;MyCap;Cash;MyCap Conta Invest;0;376,39;BRL
01/06/2021;Entradas;XP;Cash;XP Conta Invest;0;236,06;BRL
30/06/2021;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;13287,23;BRL
30/06/2021;Resgate;Inter;CDB;CDB Liquidez Diária;780;0;BRL
01/07/2021;Entradas;XP;Cash;XP Conta Invest;0;20690,43;BRL
13/07/2021;Aplicação;XP;CDB;XP Investback;0;52,12;BRL
31/07/2021;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;201,1;BRL
31/07/2021;Resgate;Inter;CDB;CDB Liquidez Diária;16240;0;BRL
31/07/2021;Saídas;MyCap;Cash;MyCap Conta Invest;579,73;0;BRL
01/08/2021;Entradas;MyCap;Cash;MyCap Conta Invest;0;519,9;BRL
31/08/2021;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;664;BRL
31/08/2021;Aplicação;Inter;CDB;CDB Liquidez Diária;0;36000;BRL
31/08/2021;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;40,78;BRL
31/08/2021;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;591,75;BRL
31/08/2021;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;12,61;BRL
31/08/2021;Rendimentos;XP;CDB;XP Investback;0;0,35;BRL
31/08/2021;Resgate;BB;REF DI;BB Ref DI Plus Est;14320,42;0;BRL
31/08/2021;Resgate;Inter;CDB;CDB Liquidez Diária;540;0;BRL
31/08/2021;Saídas;XP;Cash;XP Conta Invest;21207,12;0;BRL
01/09/2021;Entradas;MyCap;Cash;MyCap Conta Invest;0;1030,62;BRL
01/09/2021;Entradas;XP;Cash;XP Conta Invest;0;293,3;BRL
13/09/2021;Aplicação;XP;CDB;XP Investback;0;124,19;BRL
30/09/2021;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;10668,78;BRL
30/09/2021;Aplicação;Inter;CDB;CDB Liquidez Diária;0;6300;BRL
30/09/2021;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;8,88;BRL
30/09/2021;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;287,18;BRL
30/09/2021;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;3,33;BRL
30/09/2021;Rendimentos;XP;CDB;XP Investback;0;0,6;BRL
30/09/2021;Resgate;BB;REF DI;BB Ref DI Plus Est;9780,48;0;BRL
30/09/2021;Resgate;Inter;CDB;CDB Liquidez Diária;26400;0;BRL
13/10/2021;Aplicação;XP;CDB;XP Investback;0;58,57;BRL
29/10/2021;Rendimentos;XP;CDB;XP Investback;0;1,12;BRL
31/10/2021;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;5944,21;BRL
31/10/2021;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;9,38;BRL
31/10/2021;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;293,2;BRL
31/10/2021;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;4,17;BRL
31/10/2021;Resgate;BB;REF DI;BB Ref DI Plus Est;8186,47;0;BRL
31/10/2021;Resgate;Inter;CDB;CDB Liquidez Diária;4300;0;BRL
31/10/2021;Saídas;MyCap;Cash;MyCap Conta Invest;1699,96;0;BRL
31/10/2021;Saídas;XP;Cash;XP Conta Invest;338,65;0;BRL
01/11/2021;Entradas;MyCap;Cash;MyCap Conta Invest;0;119,71;BRL
11/11/2021;Aplicação;XP;CDB;XP Investback;0;66,37;BRL
30/11/2021;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;9058,26;BRL
30/11/2021;Aplicação;Inter;CDB;CDB Liquidez Diária;0;900;BRL
30/11/2021;Aplicação;Vitreo;CDB;Vitreo CDB 24/11/2022;0;10000;BRL
30/11/2021;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;4,45;BRL
30/11/2021;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;36,03;BRL
30/11/2021;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;4,59;BRL
30/11/2021;Rendimentos;Vitreo;CDB;Vitreo CDB 24/11/2022;0;13,69;BRL
30/11/2021;Rendimentos;XP;CDB;XP Investback;0;1,13;BRL
30/11/2021;Resgate;BB;REF DI;BB Ref DI Plus Est;8595,15;0;BRL
30/11/2021;Resgate;Inter;CDB;CDB Liquidez Diária;2720;0;BRL
30/11/2021;Saídas;XP;Cash;XP Conta Invest;11,88;0;BRL
01/12/2021;Entradas;XP;Cash;XP Conta Invest;0;559,36;BRL
14/12/2021;Aplicação;XP;CDB;XP Investback;0;74,67;BRL
29/12/2021;Rendimentos;XP;CDB;XP Investback;0;2,39;BRL
31/12/2021;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;15869,64;BRL
31/12/2021;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;6,38;BRL
31/12/2021;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;211,26;BRL
31/12/2021;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;5,74;BRL
31/12/2021;Rendimentos;Vitreo;CDB;Vitreo CDB 24/11/2022;0;81,31;BRL
31/12/2021;Resgate;BB;REF DI;BB Ref DI Plus Est;17188,15;0;BRL
31/12/2021;Resgate;Inter;CDB;CDB Liquidez Diária;15700;0;BRL
31/12/2021;Saídas;MyCap;Cash;MyCap Conta Invest;104,6;0;BRL
01/01/2022;Entradas;MyCap;Cash;MyCap Conta Invest;0;53,16;BRL
11/01/2022;Aplicação;XP;CDB;XP Investback;0;91,94;BRL
14/01/2022;Entradas;Vitreo;Cash;Vitreo Conta Invest;0;150;BRL
31/01/2022;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;41710,52;BRL
31/01/2022;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;14,18;BRL
31/01/2022;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;174,85;BRL
31/01/2022;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;6,08;BRL
31/01/2022;Rendimentos;Vitreo;CDB;Vitreo CDB 24/11/2022;0;94,82;BRL
31/01/2022;Rendimentos;XP;CDB;XP Investback;0;3,51;BRL
31/01/2022;Resgate;BB;REF DI;BB Ref DI Plus Est;41356,49;0;BRL
31/01/2022;Saídas;XP;Cash;XP Conta Invest;370,45;0;BRL
01/02/2022;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;12355,15;BRL
01/02/2022;Aplicação;XP;CDB;XP Investback;0;79,52;BRL
01/02/2022;Entradas;MyCap;Cash;MyCap Conta Invest;0;90,08;BRL
01/02/2022;Resgate;BB;REF DI;BB Ref DI Plus Est;11641,51;0;BRL
01/02/2022;Resgate;Inter;CDB;CDB Liquidez Diária;5370;0;BRL
01/02/2022;Resgate;Inter PJ;CDB;CDB Liquidez Diária;115;0;BRL
28/02/2022;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;7,23;BRL
28/02/2022;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;199,97;BRL
28/02/2022;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;5,89;BRL
28/02/2022;Rendimentos;Vitreo;CDB;Vitreo CDB 24/11/2022;0;89,42;BRL
28/02/2022;Rendimentos;XP;CDB;XP Investback;0;4,55;BRL
28/02/2022;Saídas;XP;Cash;XP Conta Invest;68,8;0;BRL
01/03/2022;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;13104,52;BRL
01/03/2022;Aplicação;Inter;CDB;CDB Liquidez Diária;0;16100;BRL
01/03/2022;Aplicação;Inter;LCA;Inter LCA 16/03/2023;0;5000;BRL
01/03/2022;Aplicação;Vitreo;CDB;Vitreo LCA 23/03/2023;0;5000;BRL
01/03/2022;Aplicação;XP;CDB;XP Investback;0;73,39;BRL
01/03/2022;Entradas;Inter;Cash;Inter Cash EUA;0;1000;EUA
01/03/2022;Entradas;MyCap;Cash;MyCap Conta Invest;0;1907,3;BRL
01/03/2022;Resgate;BB;REF DI;BB Ref DI Plus Est;14183,11;0;BRL
01/03/2022;Resgate;Inter;CDB;CDB Liquidez Diária;40440,48;0;BRL
01/03/2022;Resgate;XP;CDB;XP Investback;1,78;0;BRL
01/03/2022;Saídas;MyCap;Cash;MyCap Conta Invest;2000;0;BRL
01/03/2022;Saídas;Passivos;Cash;Cartão de Crédito;18342,37;0;BRL
01/03/2022;Saídas;Vitreo;Cash;Vitreo Conta Invest;150;0;BRL
01/03/2022;Saídas;XP;Cash;XP Conta Invest;120,95;0;BRL
31/03/2022;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;9;BRL
31/03/2022;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;154,21;BRL
31/03/2022;Rendimentos;Inter;LCA;Inter LCA 16/03/2023;0;24,59;BRL
31/03/2022;Rendimentos;Inter PJ;CDB;CDB Liquidez Diária;0;6,26;BRL
31/03/2022;Rendimentos;Vitreo;CDB;Vitreo CDB 24/11/2022;0;111,14;BRL
31/03/2022;Rendimentos;Vitreo;CDB;Vitreo LCA 23/03/2023;0;13,93;BRL
01/04/2022;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;1176,78;BRL
01/04/2022;Aplicação;Inter;CDB;CDB Liquidez Diária;0;9000;BRL
01/04/2022;Entradas;Passivos;Cash;Cartão de Crédito;0;18342,37;BRL
01/04/2022;Entradas;Passivos;Cash;Cartão de Crédito;0;3564,71;BRL
01/04/2022;Resgate;BB;REF DI;BB Ref DI Plus Est;1056;0;BRL
01/04/2022;Saídas;MyCap;Cash;MyCap Conta Invest;60,59;0;BRL
01/04/2022;Saídas;Passivos;Cash;Cartão de Crédito;17783,15;0;BRL
05/04/2022;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;0,01;BRL
05/04/2022;Rendimentos;Inter;CDB;CDB Liquidez Diária;0;0,87;BRL
